0,0.25,0,5,12,0,5,1,0.5,0
0,0.25,0,3,10,0,4,0.5,0.5,0
1,0.25,0,2,7,0,0,0.75,1,0
1,1,0,1,1,0,0,0.75,1,0
1,0.25,0,1,1,0,0,0.75,0.5,0
0,1,0,5,10,0,0,0.5,0.5,1
0,0.25,0,9,18,0,5,1,0.5,0
0,1,0,4,12,0,1,0.5,0.5,0
0,1,1,5,9,0,6,0.5,0.5,0
0,1,0,3,8,0,0,0.5,0.5,0
0,1,0,3,6,8,3,0.75,1,0
0,1,1,2,2,0,3,0.75,1,0
1,1,0,3,2,0,0,0.75,1,0
1,0.25,0,1,1,0,0,0.75,1,0
1,1,0,1,1,0,0,0.75,1,0
0,0.25,0,4,1,0,3,0.75,1,0
0,1,0,4,5,0,1,0.75,1,0
0,1,1,2,2,0,1,0.75,1,0
0,1,1,2,4,4,0,0.75,1,0
0,1,0,5,14,0,0,0.5,0.5,0
0,1,1,2,5,7,0,0.75,1,0
0,1,0,4,7,0,0,0.5,0.5,0
0,1,1,1,2,2,0,0.75,1,0
0,1,0,1,4,1,0,0.75,1,0
0,1,0,3,5,0,0,0.75,1,0
0,1,0,4,7,0,2,0.5,0.5,1
1,1,1,3,2,0,0,0.75,1,0
0,1,1,3,3,0,0,0.75,1,0
0,1,0,5,12,0,0,0.5,0.5,1
0,1,0,4,8,0,0,0.5,0.5,1
0,1,0,2,0,0,0,0.5,0.5,1
0,1,0,4,8,0,0,0.5,0.5,1
0,1,1,1,1,0,0,0.75,1,0
1,1,1,4,4,2,5,0.75,1,0
1,1,1,4,5,0,0,0.75,1,1
1,1,1,8,6,3,0,0.75,1,0
